construction,N,num_blocks,num_matching,predicted_alpha,actual_alpha,alpha_gap,d_max,c,k4_free,block_ids,k_copies,source,g6
single,80,1,25,35,35,0,6,1.465,1,589,10,,~?@O??ED{???????????E?@^?????????????????????W??@^??????????????????????????????E????D{???????????????????????????????????????E?????@^????????????@??????C??????G??????G??????C????????W??????@^????????????@???????@????????_???????G???????@????????????E????????D{????????????C????????@?????????G?????????_????????@????????????????E?????????@^????????????@??????????C??????????G??????????G??????????C????????????????????W??????????@^????????????@???????????@????????????_???????????G???????????@????????????????????????E????????????D{
single,88,1,27,39,39,0,6,1.4841,1,589,11,,~?@W??ED{???????????E?@^?????????????????????W??@^??????????????????????????????E????D{???????????????????????????????????????E?????@^??????@????????????????????????????G?????????????W??????@^??????????????O???????O???????G???????A????????O??????????E????????D{?????????????@?????????O????????A?????????G?????????O??????????????E?????????@^??????????????O?????????@??????????A??????????A??????????@???????????????????W??????????@^??????????????O???????????O???????????G???????????A????????????O??????????????????????E????????????D{?????????????@?????????????O????????????A????????????????????G?????????????_???????????????????E?????????????@^
single,96,1,30,42,42,0,6,1.465,1,589,12,,~?@_??ED{???????????E?@^?????????????????????W??@^??????????????????????????????E????D{???????????????????????????????????????E?????@^?????????????????????????????????????????????????W??????@^???????????????C???????C???????A????????_???????C?????????E????????D{???????????????O????????C?????????_????????A?????????C?????????????E?????????@^???????????????C??????????O??????????_??????????_??????????O?????????????????W??????????@^???????????????C???????????C???????????A????????????_???????????C?????????????????????E????????????D{???????????????O????????????C?????????????_????????????A?????????????C?????????????????????????E?????????????@^???????????????C??????????????O??????????????_??????????????_??????????????O?????????????????????????????W??????????????@^
single,16,1,5,7,7,0,6,1.465,1,596,2,,O??FE}???G@?C?G??F?@n
single,24,1,7,11,11,0,6,1.5348,1,596,3,,W??FE{??@?????C??F?@n_?????G??O???A??@????[??@n
single,32,1,10,14,14,0,6,1.465,1,596,4,,_??FE{???????????F?@n?G?????A??C??C??A????[??@n_????????_???O???C????_???????F????E{
single,40,1,12,18,18,0,6,1.5069,1,596,5,,g??FE{???????????F?@n?????@?????????C?????[??@n?G????????G???C???@????G??????F????E}???????????G????@????????G?????O???????F?????@n
single,48,1,15,21,21,0,6,1.465,1,596,6,,o??FE{???????????F?@n?????????????????????[??@n??A????????A???@????O???A?????F????E{?_??????????A?????O????@?????A?????????F?????@n_?????????????G??????O??????O??????G?????????????[??????@n
single,56,1,17,25,25,0,6,1.4949,1,596,7,,w??FE{???????????F?@n?????????????????????[??@n????????C?????????????O???????F????E{??G???????????_????C?????O?????_???????F?????@n?G?????????????A??????C??????C??????A????????????[??????@n_????????????????_???????O???????????A????????O???????????F????????E{
single,64,1,20,28,28,0,6,1.465,1,596,8,,~?@???FE{???????????F?@n?????????????????????[??@n??????????????????????????????F????E{???A???????????G????@?????C?????G??????F?????@n??A??????????????_?????@??????@???????_??????????[??????@n?G????????????????G???????C???????@????????G??????????????F????????E}???????????????????G????????@?????????C?????????G??????????????????F?????????@n
single,72,1,22,32,32,0,6,1.4883,1,596,9,,~?@G??FE{???????????F?@n?????????????????????[??@n??????????????????????????????F????E{??????????@?????????????????C??????????F?????@n????_?????????????G??????O??????O??????G?????????[??????@n??A????????????????A???????@????????O???????A?????????????F????????E{?_??????????????????A?????????O????????@?????????A?????????????????F?????????@n_?????????????????????G??????????O???????????????A??????????@????????????????[??????????@n
