saddle,method,t,alpha,alpha_drop,n,m0,skipped
1,hardcore_comarg,2,6,1,20,57,0
1,hardcore_comarg,3,6,1,20,57,0
1,hardcore_comarg,4,6,1,20,57,0
1,hardcore_comarg,5,6,1,20,57,0
1,hardcore_comarg,6,6,1,20,57,0
1,hardcore_comarg,7,6,1,20,57,0
1,hardcore_comarg,8,6,1,20,57,0
1,hardcore_comarg,9,5,2,20,57,0
1,hardcore_comarg,10,5,2,20,57,0
1,hardcore_comarg,11,5,2,20,57,0
1,hardcore_comarg,12,5,2,20,57,0
1,hardcore_comarg,13,5,2,20,57,0
1,hardcore_comarg,14,5,2,20,57,0
1,hardcore_comarg,15,5,2,20,57,0
1,hardcore_comarg,16,5,2,20,57,0
1,hardcore_comarg,17,5,2,20,57,0
1,hardcore_comarg,18,5,2,20,57,0
1,hardcore_comarg,19,5,2,20,57,0
1,hardcore_comarg,20,5,2,20,57,0
1,sdp_X_uw,0,7,0,20,57,0
1,sdp_X_uw,1,7,0,20,57,0
1,sdp_X_uw,2,6,1,20,57,0
1,sdp_X_uw,3,6,1,20,57,0
1,sdp_X_uw,4,6,1,20,57,0
1,sdp_X_uw,5,6,1,20,57,0
1,sdp_X_uw,6,6,1,20,57,0
1,sdp_X_uw,7,6,1,20,57,0
1,sdp_X_uw,8,5,2,20,57,0
1,sdp_X_uw,9,5,2,20,57,0
1,sdp_X_uw,10,5,2,20,57,0
1,sdp_X_uw,11,5,2,20,57,0
1,sdp_X_uw,12,5,2,20,57,0
1,sdp_X_uw,13,5,2,20,57,0
1,sdp_X_uw,14,5,2,20,57,0
1,sdp_X_uw,15,5,2,20,57,0
1,sdp_X_uw,16,5,2,20,57,0
1,sdp_X_uw,17,5,2,20,57,0
1,sdp_X_uw,18,5,2,20,57,0
1,sdp_X_uw,19,5,2,20,57,0
1,sdp_X_uw,20,5,2,20,57,0
1,lp_xu_plus_xw,0,7,0,20,57,0
1,lp_xu_plus_xw,1,7,0,20,57,0
1,lp_xu_plus_xw,2,7,0,20,57,0
1,lp_xu_plus_xw,3,7,0,20,57,0
1,lp_xu_plus_xw,4,7,0,20,57,0
1,lp_xu_plus_xw,5,7,0,20,57,0
1,lp_xu_plus_xw,6,7,0,20,57,0
1,lp_xu_plus_xw,7,7,0,20,57,0
1,lp_xu_plus_xw,8,7,0,20,57,0
1,lp_xu_plus_xw,9,7,0,20,57,0
1,lp_xu_plus_xw,10,7,0,20,57,0
1,lp_xu_plus_xw,11,7,0,20,57,0
1,lp_xu_plus_xw,12,7,0,20,57,0
1,lp_xu_plus_xw,13,6,1,20,57,0
1,lp_xu_plus_xw,14,6,1,20,57,0
1,lp_xu_plus_xw,15,6,1,20,57,0
1,lp_xu_plus_xw,16,6,1,20,57,0
1,lp_xu_plus_xw,17,6,1,20,57,0
1,lp_xu_plus_xw,18,6,1,20,57,0
1,lp_xu_plus_xw,19,6,1,20,57,0
1,lp_xu_plus_xw,20,6,1,20,57,0
1,hoffman_grad,0,7,0,20,57,1
2,random,0,7,0,20,57,0
2,random,1,7,0,20,57,0
2,random,2,7,0,20,57,0
2,random,3,7,0,20,57,0
2,random,4,7,0,20,57,0
2,random,5,7,0,20,57,0
2,random,6,7,0,20,57,0
2,random,7,7,0,20,57,0
2,random,8,7,0,20,57,0
2,random,9,7,0,20,57,0
2,random,10,7,0,20,57,0
2,random,11,7,0,20,57,0
2,random,12,7,0,20,57,0
