n,saddle,method,a0,alpha_final,alpha_drop,steps_taken,first_drop_t,wasted_steps,wall_s,skipped
18,19,lp_xu_plus_xw,7,5,2,20,3,18,0.746,0
18,19,hoffman_grad,7,7,0,0,,0,0.016,1
18,19,drop_e_max,7,5,2,20,2,18,12.88,0
18,19,drop_l_hc,7,7,0,20,,20,16.75,0
20,0,random,8,6,2,20,5,18,0.433,0
20,0,drop_alpha,8,6,2,20,8,18,0.749,0
20,0,hardcore_comarg,8,5,3,20,2,17,0.551,0
20,0,sdp_X_uw,8,5,3,20,2,17,2.976,0
20,0,lp_xu_plus_xw,8,6,2,20,5,18,1.048,0
20,0,hoffman_grad,8,8,0,0,,0,0.023,1
20,0,drop_e_max,8,5,3,20,2,17,20.664,0
20,0,drop_l_hc,8,8,0,20,,20,24.58,0
20,1,random,7,6,1,20,10,19,0.414,0
20,1,drop_alpha,7,6,1,20,9,19,0.731,0
20,1,hardcore_comarg,7,5,2,20,2,18,0.544,0
20,1,sdp_X_uw,7,5,2,20,3,18,1.452,0
20,1,lp_xu_plus_xw,7,6,1,20,5,19,1.014,0
20,1,hoffman_grad,7,7,0,0,,0,0.022,1
20,1,drop_e_max,7,5,2,20,2,18,23.094,0
20,1,drop_l_hc,7,6,1,20,4,19,22.516,0
20,2,random,7,6,1,20,19,19,0.431,0
20,2,drop_alpha,7,6,1,20,3,19,0.776,0
20,2,hardcore_comarg,7,5,2,20,2,18,0.558,0
20,2,sdp_X_uw,7,5,2,20,2,18,3.069,0
20,2,lp_xu_plus_xw,7,6,1,20,10,19,1.052,0
20,2,hoffman_grad,7,7,0,0,,0,0.026,1
20,2,drop_e_max,7,5,2,20,2,18,21.253,0
20,2,drop_l_hc,7,7,0,20,,20,25.151,0
20,3,random,7,6,1,20,12,19,0.42,0
20,3,drop_alpha,7,6,1,20,2,19,0.731,0
20,3,hardcore_comarg,7,5,2,20,2,18,0.525,0
20,3,sdp_X_uw,7,5,2,20,2,18,1.305,0
20,3,lp_xu_plus_xw,7,6,1,20,17,19,0.983,0
20,3,hoffman_grad,7,7,0,0,,0,0.022,1
20,3,drop_e_max,7,5,2,20,2,18,21.903,0
20,3,drop_l_hc,7,7,0,20,,20,24.393,0
20,4,random,7,6,1,20,4,19,0.475,0
20,4,drop_alpha,7,5,2,20,2,18,0.792,0
20,4,hardcore_comarg,7,5,2,20,2,18,2.255,0
20,4,sdp_X_uw,7,5,2,20,2,18,1.499,0
20,4,lp_xu_plus_xw,7,5,2,20,6,18,1.084,0
20,4,hoffman_grad,7,7,0,0,,0,0.035,1
20,4,drop_e_max,7,5,2,20,2,18,20.212,0
20,4,drop_l_hc,7,6,1,20,3,19,23.825,0
20,5,random,7,6,1,20,15,19,0.405,0
20,5,drop_alpha,7,6,1,20,3,19,0.705,0
20,5,hardcore_comarg,7,5,2,20,2,18,0.594,0
20,5,sdp_X_uw,7,5,2,20,2,18,1.42,0
20,5,lp_xu_plus_xw,7,6,1,20,19,19,1.01,0
20,5,hoffman_grad,7,7,0,0,,0,0.022,1
20,5,drop_e_max,7,5,2,20,2,18,19.861,0
20,5,drop_l_hc,7,7,0,20,,20,20.536,0
20,6,random,8,6,2,20,10,18,0.419,0
20,6,drop_alpha,8,6,2,20,5,18,0.758,0
20,6,hardcore_comarg,8,5,3,20,2,17,0.563,0
20,6,sdp_X_uw,8,5,3,20,2,17,1.74,0
20,6,lp_xu_plus_xw,8,6,2,20,6,18,1.098,0
20,6,hoffman_grad,8,8,0,0,,0,0.021,1
20,6,drop_e_max,8,5,3,20,2,17,23.317,0
20,6,drop_l_hc,8,7,1,20,2,19,22.453,0
20,7,random,7,6,1,20,9,19,0.433,0
20,7,drop_alpha,7,6,1,20,3,19,0.794,0
20,7,hardcore_comarg,7,5,2,20,2,18,0.561,0
20,7,sdp_X_uw,7,5,2,20,2,18,1.523,0
20,7,lp_xu_plus_xw,7,6,1,20,7,19,0.992,0
20,7,hoffman_grad,7,7,0,0,,0,0.022,1
20,7,drop_e_max,7,5,2,20,2,18,20.677,0
20,7,drop_l_hc,7,6,1,20,18,19,23.499,0
20,8,random,7,5,2,20,15,18,0.433,0
20,8,drop_alpha,7,6,1,20,2,19,0.773,0
20,8,hardcore_comarg,7,5,2,20,2,18,0.554,0
20,8,sdp_X_uw,7,5,2,20,2,18,1.343,0
20,8,lp_xu_plus_xw,7,6,1,20,10,19,0.982,0
20,8,hoffman_grad,7,7,0,0,,0,0.022,1
20,8,drop_e_max,7,5,2,20,2,18,22.798,0
20,8,drop_l_hc,7,6,1,20,17,19,22.566,0
20,9,random,7,6,1,20,9,19,0.427,0
20,9,drop_alpha,7,5,2,20,2,18,0.856,0
20,9,hardcore_comarg,7,5,2,20,2,18,0.557,0
20,9,sdp_X_uw,7,5,2,20,3,18,1.376,0
20,9,lp_xu_plus_xw,7,5,2,20,3,18,0.984,0
20,9,hoffman_grad,7,7,0,0,,0,0.033,1
20,9,drop_e_max,7,5,2,20,2,18,21.498,0
20,9,drop_l_hc,7,6,1,20,3,19,24.182,0
20,10,random,7,7,0,20,,20,0.52,0
20,10,drop_alpha,7,6,1,20,3,19,0.744,0
20,10,hardcore_comarg,7,5,2,20,2,18,0.531,0
20,10,sdp_X_uw,7,5,2,20,2,18,1.467,0
20,10,lp_xu_plus_xw,7,6,1,20,12,19,0.99,0
20,10,hoffman_grad,7,7,0,0,,0,0.029,1
20,10,drop_e_max,7,5,2,20,2,18,22.026,0
20,10,drop_l_hc,7,7,0,20,,20,28.719,0
20,11,random,7,7,0,20,,20,0.694,0
20,11,drop_alpha,7,6,1,20,2,19,1.207,0
20,11,hardcore_comarg,7,5,2,20,2,18,0.788,0
20,11,sdp_X_uw,7,5,2,20,2,18,2.145,0
20,11,lp_xu_plus_xw,7,5,2,20,11,18,1.355,0
20,11,hoffman_grad,7,7,0,0,,0,0.022,1
20,11,drop_e_max,7,5,2,20,2,18,22.537,0
20,11,drop_l_hc,7,6,1,20,13,19,27.038,0
20,12,random,7,6,1,20,13,19,0.605,0
20,12,drop_alpha,7,6,1,20,4,19,1.144,0
20,12,hardcore_comarg,7,5,2,20,2,18,0.876,0
20,12,sdp_X_uw,7,5,2,20,2,18,3.613,0
20,12,lp_xu_plus_xw,7,6,1,20,2,19,1.486,0
20,12,hoffman_grad,7,7,0,0,,0,0.042,1
20,12,drop_e_max,7,5,2,20,2,18,23.455,0
20,12,drop_l_hc,7,7,0,20,,20,32.891,0
20,13,random,7,7,0,20,,20,0.685,0
20,13,drop_alpha,7,6,1,20,3,19,1.151,0
20,13,hardcore_comarg,7,5,2,20,2,18,0.895,0
20,13,sdp_X_uw,7,5,2,20,2,18,2.329,0
20,13,lp_xu_plus_xw,7,6,1,20,5,19,1.582,0
20,13,hoffman_grad,7,7,0,0,,0,0.031,1
20,13,drop_e_max,7,5,2,20,2,18,25.808,0
20,13,drop_l_hc,7,7,0,20,,20,33.858,0
20,14,random,7,5,2,20,8,18,0.663,0
20,14,drop_alpha,7,5,2,20,2,18,1.236,0
20,14,hardcore_comarg,7,5,2,20,2,18,0.832,0
20,14,sdp_X_uw,7,5,2,20,2,18,1.994,0
20,14,lp_xu_plus_xw,7,5,2,20,8,18,1.6,0
20,14,hoffman_grad,7,7,0,0,,0,0.037,1
20,14,drop_e_max,7,5,2,20,2,18,25.477,0
20,14,drop_l_hc,7,6,1,20,6,19,34.143,0
20,15,random,7,6,1,20,20,19,0.671,0
20,15,drop_alpha,7,5,2,20,3,18,1.191,0
20,15,hardcore_comarg,7,5,2,20,3,18,0.689,0
20,15,sdp_X_uw,7,5,2,20,2,18,2.088,0
20,15,lp_xu_plus_xw,7,6,1,20,3,19,1.557,0
20,15,hoffman_grad,7,7,0,0,,0,0.031,1
20,15,drop_e_max,7,5,2,20,2,18,32.981,0
20,15,drop_l_hc,7,6,1,20,4,19,33.665,0
20,16,random,7,5,2,20,5,18,0.667,0
20,16,drop_alpha,7,5,2,20,5,18,1.192,0
20,16,hardcore_comarg,7,5,2,20,2,18,0.841,0
20,16,sdp_X_uw,7,5,2,20,2,18,1.963,0
20,16,lp_xu_plus_xw,7,6,1,20,19,19,3.016,0
20,16,hoffman_grad,7,7,0,0,,0,0.037,1
20,16,drop_e_max,7,5,2,20,2,18,24.834,0
20,16,drop_l_hc,7,6,1,20,12,19,24.787,0
20,17,random,7,7,0,20,,20,0.448,0
20,17,drop_alpha,7,6,1,20,9,19,0.892,0
20,17,hardcore_comarg,7,5,2,20,3,18,0.847,0
20,17,sdp_X_uw,7,5,2,20,3,18,2.091,0
20,17,lp_xu_plus_xw,7,5,2,20,7,18,1.597,0
20,17,hoffman_grad,7,7,0,0,,0,0.024,1
20,17,drop_e_max,7,5,2,20,2,18,25.468,0
20,17,drop_l_hc,7,7,0,20,,20,27.84,0
20,18,random,7,6,1,20,8,19,0.486,0
20,18,drop_alpha,7,6,1,20,2,19,0.831,0
