graph_id,source,n,d_max,alpha,c_log,hoffman,hoffman_t,theta,theta_t,theta_prime,theta_prime_t,chi_f,chi_f_t,clique_cover,clique_cover_t,hardcore,hardcore_t,hoffman_over_alpha,theta_over_alpha,theta_prime_over_alpha,chi_f_over_alpha,clique_cover_over_alpha,alpha_over_hardcore
d776ba9568caedbc,cayley_tabu_gap,88,8,16,0.699489,27.868113983193563,0.0029,22.683728828824478,0.4915,22.68372848574289,0.7565,29.333341187358535,0.0028,37,0.0006,,,1.7418,1.4177,1.4177,1.8333,2.3125,
908327a87d829cea,sat_circulant_optimal,89,12,16,0.868163,27.48105995553616,0.0006,23.318105913529642,2.6504,23.318109898230855,4.7475,29.666613329614385,0.0038,34,0.0006,,,1.7176,1.4574,1.4574,1.8542,2.125,
215e76f1fed22266,disjoint_lift,90,7,18,0.719458,,0.0001,23.510767550871662,0.6435,23.510753868376927,6.8164,30.000000007346028,0.0045,37,0.0006,,,,1.3062,1.3062,1.6667,2.0556,
59628ce7881a29d7,circulant_fast,91,6,21,0.772769,31.638183692349,0.0015,25.238863522332473,0.4606,25.23885882997196,1.3882,30.33333835161854,0.0026,36,0.0005,,,1.5066,1.2019,1.2019,1.4444,1.7143,
0ca7f7d74b1d2256,cayley_tabu_gap,92,16,12,0.75271,26.23525953894095,0.0009,19.74501535996391,0.745,19.745013251324004,1.3919,30.666666666800808,0.006,34,0.0007,,,2.1863,1.6454,1.6454,2.5556,2.8333,
b433ebf03c4de457,cayley_tabu_gap,93,12,15,0.778896,28.13645109482057,0.0006,21.71975468530261,0.7499,21.719751619224056,0.8858,30.999999999974943,0.0046,35,0.0006,,,1.8758,1.448,1.448,2.0667,2.3333,
e6734ef84785d494,sat_circulant_optimal,94,12,16,0.821984,31.47269336867865,0.0056,23.57191438015432,0.8171,23.571922637524555,1.6075,31.333357386224684,0.0046,35,0.0006,,,1.967,1.4732,1.4732,1.9583,2.1875,
206fdbe8884f4d4a,circulant_fast,95,6,20,0.704982,26.2021487560327,0.003,26.20215366098646,0.352,26.202153908524195,0.6341,31.666672026022084,0.003,38,0.0006,,,1.3101,1.3101,1.3101,1.5833,1.9,
7e759b38a5e42aa4,circulant_fast,96,4,24,0.721348,32.000000000000036,0.0005,28.117748446550273,0.3829,28.117751172930134,0.703,32.000013353176264,0.0023,42,0.0006,,,1.3333,1.1716,1.1716,1.3333,1.75,
02cde69c3dd1f989,sat_circulant_optimal,97,10,20,0.895453,33.932849847103604,0.0006,26.247102687560517,0.8676,25.938088795839963,3.3025,32.33335649006541,0.0034,43,0.0007,,,1.6966,1.3124,1.2969,1.6167,2.15,
bc6f7121c6135adb,disjoint_lift,98,6,21,0.717571,,0.0001,26.406937764723104,1.0495,26.372693129531804,5.7014,32.66669214448599,0.0029,42,0.0006,,,,1.2575,1.2558,1.5556,2.0,
8f4292ca043f58c3,sat_circulant_optimal,99,12,15,0.73169,28.04092451083305,0.0025,23.056802462873584,0.7625,23.056797752111468,1.1253,33.00007497477546,0.0053,38,0.0007,,,1.8694,1.5371,1.5371,2.2,2.5333,
52ac1befa31b46a0,disjoint_lift,100,7,20,0.719458,35.50825280832846,0.0021,26.530317625702565,0.6942,26.53032029726727,1.6061,33.33333915779431,0.0038,42,0.0008,,,1.7754,1.3265,1.3265,1.6667,2.1,
