graph_id,source,n,d,alpha,lam_min,hoffman,theta,theta_over_alpha,alpha_over_theta,theta_over_hoff,alpha_over_hoff,c_log
76e9c6ef7c2c9f85,sat_regular,16,7.5,3,-2.561553,4.073411728785804,4.003492633792124,1.3344975445973748,0.7493457024693931,0.9828352497491037,0.7364833706349235,0.721348
a9afcde4c2669c93,cayley_tabu,16,5,4,-3.0,6.0,4.98392714147984,1.24598178536996,0.8025799508000653,0.8306545235799733,0.6666666666666666,0.776669
42167d69026f7fe2,cayley_tabu_gap,16,5,4,-3.0,6.0,4.999998704787203,1.2499996761968009,0.8000002072341011,0.8333331174645339,0.6666666666666666,0.776669
c7956aa54f1c64ee,circulant_fast,16,6,4,-3.414214,5.802653731899445,4.686234275285585,1.1715585688213963,0.8535638137203959,0.8076019166064541,0.6893397719065061,0.837166
9d1bcb93f3b6c1c9,circulant_fast,16,6,4,-4.0,6.4,4.6862980232227365,1.1715745058056841,0.8535522026508306,0.7322340661285526,0.625,0.837166
6510039dfe5d9d24,cayley_tabu_gap,16,6,4,-2.828427,5.126035702622902,4.6862925031853715,1.1715731257963429,0.8535532080597009,0.9142137852819633,0.7803301092798224,0.837166
ff2b19f34a7432c4,cayley_tabu_gap,16,6,4,-2.0,4.0,3.99999960164196,0.99999990041049,1.00000009958952,0.99999990041049,1.0,0.837166
632f63a7f3c4caa6,cayley_tabu_gap,16,7,4,-3.0,4.8,3.999999066203735,0.9999997665509337,1.0000002334491207,0.8333331387924447,0.8333333333333334,0.899322
993d6c761d2f048b,random,16,8,4,-4.495161,5.756034356019903,4.3952986514252705,1.0988246628563176,0.9100633010917047,0.763598404660056,0.6949228848532899,0.961797
a64f69c5cd2125b9,regularity,16,4.875,5,-2.952469,6.0350930805347165,5.198897832878082,1.0397795665756164,0.9617423078368184,0.8614445151883976,0.8284876361106587,0.970836
081d077214f2f1a0,cayley_tabu_gap,16,5,5,-3.0,6.0,6.000003307807702,1.2000006615615404,0.8333328739158502,1.0000005513012837,0.8333333333333334,0.970836
91ba70168f37f6a0,sat_regular,16,1.75,6,-1.0,5.818181818181818,5.999980005338461,0.9999966675564101,1.000003332454695,1.031246563417548,1.03125,1.082021
0a68d1a825a5136a,cayley_tabu_gap,16,3,8,-3.0,8.0,8.000014907392014,1.0000018634240018,0.9999981365794706,1.0000018634240018,1.0,1.365359
616eac31100bc37e,cayley,17,8,3,-2.561553,4.123105853845548,4.123105744236,1.374368581412,0.7276068541763514,0.9999999734157812,0.7276068348334916,0.678915
f0c7b112cfd9a3da,circulant_fast,17,6,4,-3.481844,6.24259880251141,5.027234729142501,1.2568086822856253,0.7956660501273795,0.8053111994190679,0.6407587811651122,0.787921
229c10240d283ac8,circulant_fast,17,6,4,-2.721167,5.304317529981939,4.669636734345945,1.1674091835864862,0.8565976814811618,0.8803463797088792,0.7541026677589604,0.787921
ae8aeee616d790a7,sat_regular,17,5.176471,4,-2.923772,6.136127521112638,4.954209900883844,1.238552475220961,0.8073941314610812,0.8073837911350183,0.6518769347992132,0.787921
321bca915ace7ca9,sat_regular,17,4.823529,4,-2.884123,6.3612227173722955,4.853380044407375,1.2133450111018438,0.8241678919435254,0.7629633892793833,0.6288099281724767,0.846421
d642c18ef97915b2,sat_regular,17,3.176471,5,-2.102775,6.7712652526516095,5.553733380744875,1.110746676148975,0.9002952891716586,0.8201913783498657,0.7384144341475936,0.848644
0b78eaa1c9359e1e,sat_regular,17,2.941176,5,-1.855773,6.5767096961005835,5.472132725104519,1.0944265450209039,0.9137205274757839,0.8320471752537622,0.7602585838576036,0.848644
796379d4d9040d1b,random,17,5.882353,5,-3.77904,6.649525591185453,5.415659197871647,1.0831318395743295,0.9232486420055751,0.8144429438771681,0.7519333419256182,0.984901
45ade354252a541a,regularity,17,5.764706,5,-3.225321,6.099031404466304,5.292078879264379,1.0584157758528758,0.9448082906683773,0.8676916920593332,0.8198023044017306,0.984901
b810481972a8df8c,sat_regular,17,1.882353,6,-1.0,5.897959063306957,5.999964036407524,0.9999940060679208,1.0000059939680066,1.0172949611900788,1.0173010588235296,1.018373
82594daeae0dcfe3,circulant,18,6,4,-2.532089,5.341904192513698,5.004804511376339,1.2512011278440847,0.7992320161372269,0.9368952214437353,0.7487966567438102,0.744148
f0b1df86262afd8a,sat_regular,18,5.555556,4,-2.951798,6.245462925370216,5.067636953342516,1.266909238335629,0.7893225258296526,0.8114109416544362,0.6404649339524964,0.744148
64cd13060c0d33f6,sat_regular,18,5.555556,4,-2.953929,6.248406572195615,5.050654522716617,1.2626636306791543,0.7919765610593581,0.8083108012194985,0.6401632086169528,0.744148
c8141195695a43c5,circulant_fast,18,7,4,-4.064178,6.611896880183959,4.891276548925205,1.2228191372313013,0.8177824255058628,0.7397690311209327,0.6049701125841984,0.799397
6bb1d84d6d822b1f,circulant_fast,18,7,4,-3.411474,5.897967185049878,4.974775476339284,1.243693869084821,0.8040563878761062,0.8434728984164759,0.6781997719721414,0.799397
103fecccf50f605c,cayley_tabu_gap,18,7,4,-2.791288,5.131417235403555,4.762205388153577,1.1905513470383942,0.8399469728773915,0.9280487572316963,0.7795117443193886,0.799397
