n,d_max,alpha,c_log,E_max,tightness,is_regular,graph_id
14,6,3,0.717571,2.9946942112738477,0.9982314037579493,0,c74fc2e2b3c8a27d
14,6,3,0.717571,2.9945794923860585,0.9981931641286862,0,deb8b8e3b037c022
14,7,3,0.770848,2.994579492386059,0.9981931641286863,0,8e448089d65809c7
14,4,4,0.824397,3.9930144668299277,0.9982536167074819,0,d78fc3e17c94a47b
14,4,4,0.824397,3.986105005816872,0.996526251454218,1,e822613277e729b5
14,4,4,0.824397,3.9900355720128915,0.9975088930032229,1,f8d1e3091db6f467
14,5,4,0.887621,3.975416669491214,0.9938541673728035,1,7cbbfec015bfbe22
14,6,4,0.956761,3.974413003480877,0.9936032508702193,0,7225cc193ae6fe52
14,2,5,1.030496,4.990850660370704,0.9981701320741407,0,15709c7e0ffdf75e
14,4,5,1.030496,4.921488188572818,0.9842976377145636,0,623d853e40dfd182
15,7,3,0.719458,2.9945048038641255,0.9981682679547085,0,220d4fe79b1c3a63
15,7,3,0.719458,2.994272303228311,0.9980907677427703,0,4103c9aee2cd9a39
15,7,3,0.719458,2.994725042635454,0.9982416808784847,0,5aafa301bd8a6811
15,7,3,0.719458,2.994504803864126,0.9981682679547087,0,7d8c9a54f222f33e
15,7,3,0.719458,2.9943909618622424,0.9981303206207475,0,98d06cfb15c9496c
15,7,3,0.719458,2.9941290583748366,0.9980430194582789,0,9b58b6693bd81dfd
15,7,3,0.719458,2.994272303228311,0.9980907677427703,0,c604b04392ffa1fc
15,7,3,0.719458,2.9941290583748366,0.9980430194582789,0,db7b03990b9482cc
15,7,3,0.719458,2.9941290583748366,0.9980430194582789,0,e0c1ee3ff2a57b15
15,8,3,0.769437,2.9947250426354546,0.9982416808784849,0,1bf372abeadf9e80
15,4,4,0.769437,3.9931808283618193,0.9982952070904548,0,6fddb27189724884
15,6,4,0.892977,3.9801976544549094,0.9950494136137273,1,165bd50c87de1c22
15,6,4,0.892977,3.9790884966454345,0.9947721241613586,0,25a8fd678cf98a84
15,6,4,0.892977,3.986743890839713,0.9966859727099282,1,7b179f6998a7ad13
15,6,4,0.892977,3.978598793765088,0.994649698441272,1,c50f5ab54731832a
15,7,4,0.959277,3.984714111173963,0.9961785277934907,0,4432e87baba9dcbb
15,7,4,0.959277,3.973742339085524,0.993435584771381,0,d1192f6f49277da0
15,2,5,0.961797,4.9916805324459235,0.9983361064891847,1,7226fdc6db8cab8e
15,4,5,0.961797,4.978806695405383,0.9957613390810766,0,d6107811d65bef28
16,8,3,0.721348,2.994657224916125,0.9982190749720417,0,3e266130c5cc1766
16,8,3,0.721348,2.994657224916125,0.9982190749720417,0,76e9c6ef7c2c9f85
16,4,4,0.721348,3.9933471898937096,0.9983367974734274,1,880b0fb4383e5f23
16,5,4,0.776669,3.991674959967161,0.9979187399917903,0,0a7fa71d4b694349
16,5,4,0.776669,3.991581765769789,0.9978954414424472,0,29ec9dc69f43355f
16,5,4,0.776669,3.9904291664212215,0.9976072916053054,0,2c78e0eb369caf4c
16,5,4,0.776669,3.9909965641488965,0.9977491410372241,0,337840e13648c4f3
16,5,4,0.776669,3.9910308715770664,0.9977577178942666,1,42167d69026f7fe2
16,5,4,0.776669,3.9913504817968075,0.9978376204492019,0,43087ae7175d7b3e
16,5,4,0.776669,3.991102796839367,0.9977756992098418,0,5f8926487b3caa43
16,5,4,0.776669,3.990669211324485,0.9976673028311213,0,6eada1d5b7970364
16,5,4,0.776669,3.9912643501623144,0.9978160875405786,0,9434cc48de277f97
16,5,4,0.776669,3.991161271032028,0.997790317758007,0,9df10fba4e1a9a7e
16,5,4,0.776669,3.9905632545603513,0.9976408136400878,1,a9afcde4c2669c93
16,5,4,0.776669,3.9905507131217988,0.9976376782804497,0,b2b19e9cc66944bc
16,5,4,0.776669,3.9906692113244855,0.9976673028311214,0,b46573235fbe2a9a
16,5,4,0.776669,3.9907234231361337,0.9976808557840334,0,bc7029e370a32d4a
16,5,4,0.776669,3.9912507836109388,0.9978126959027347,0,db2f512f86282cd6
16,5,4,0.776669,3.9911027968393666,0.9977756992098417,0,de68facc279e09ce
16,5,4,0.776669,3.9909476384874307,0.9977369096218577,0,f12e9b9a9b715d05
16,6,4,0.837166,3.9851114786522412,0.9962778696630603,1,6510039dfe5d9d24
16,6,4,0.837166,3.990693704878625,0.9976734262196563,1,9d1bcb93f3b6c1c9
16,6,4,0.837166,3.988053743198179,0.9970134357995447,1,c7956aa54f1c64ee
16,6,4,0.837166,3.970658183948474,0.9926645459871185,1,ff2b19f34a7432c4
16,7,4,0.899322,3.9252115297861176,0.9813028824465294,1,632f63a7f3c4caa6
16,8,4,0.961797,3.9801826381186833,0.9950456595296708,1,993d6c761d2f048b
16,5,5,0.970836,4.96338053038698,0.9926761060773959,1,081d077214f2f1a0
16,5,5,0.970836,4.968352041742705,0.9936704083485409,0,a64f69c5cd2125b9
16,2,6,1.082021,5.988356894784668,0.9980594824641114,0,91ba70168f37f6a0
16,3,8,1.365359,7.96000491816314,0.9950006147703925,1,0a68d1a825a5136a
17,8,3,0.678915,2.9950124633498163,0.9983374877832721,1,616eac31100bc37e
17,6,4,0.787921,3.986760289957944,0.996690072489486,1,229c10240d283ac8
17,6,4,0.787921,3.991954508738528,0.997988627184632,0,ae8aeee616d790a7
17,6,4,0.787921,3.991030871578882,0.9977577178947205,1,f0c7b112cfd9a3da
17,7,4,0.846421,3.993043473460818,0.9982608683652044,0,321bca915ace7ca9
17,4,5,0.848644,4.991350573319113,0.9982701146638225,0,0b78eaa1c9359e1e
17,4,5,0.848644,4.989936958788182,0.9979873917576365,0,d642c18ef97915b2
17,6,5,0.984901,4.958201645327438,0.9916403290654875,0,45ade354252a541a
17,6,5,0.984901,4.968147413841353,0.9936294827682707,0,796379d4d9040d1b
17,4,6,1.018373,5.972753120691018,0.995458853448503,1,3a29026d3bc0b61e
17,2,6,1.018373,5.989186766859889,0.9981977944766481,0,b810481972a8df8c
18,6,4,0.744148,3.992040016645181,0.9980100041612953,0,007f1960b280b5a2
18,6,4,0.744148,3.9918952703835875,0.9979738175958969,0,0b7102c5057180b9
18,6,4,0.744148,3.992040016645181,0.9980100041612953,0,13a7a1c1c5eb1d54
18,6,4,0.744148,3.991829379613333,0.9979573449033332,0,149759e784bb1541
18,6,4,0.744148,3.9917077589529573,0.9979269397382393,0,1a1c059953f0deb1
18,6,4,0.744148,3.9911246662084117,0.9977811665521029,0,215f50c6de0a2fcb
18,6,4,0.744148,3.9916943308294703,0.9979235827073676,0,314e2d774437ce19
18,6,4,0.744148,3.9916664369362347,0.9979166092340587,0,38504dd483169664
18,6,4,0.744148,3.9915964055245987,0.9978991013811497,0,3cd5633f22637132
18,6,4,0.744148,3.992571406143678,0.9981428515359195,0,64cd13060c0d33f6
18,6,4,0.744148,3.991495123761278,0.9978737809403195,0,7445a5627ca0d239
18,6,4,0.744148,3.992040016645181,0.9980100041612953,0,7a34ed0632b86976
18,6,4,0.744148,3.991638071864357,0.9979095179660893,0,7c38c7c119f1a00d
18,6,4,0.744148,3.9917353107799807,0.9979338276949952,0,7c390994e18f1de5
18,6,4,0.744148,3.990644115124302,0.9976610287810755,1,82594daeae0dcfe3
18,6,4,0.744148,3.9920086075424517,0.9980021518856129,0,b283f2668415026d
18,6,4,0.744148,3.9916664369362342,0.9979166092340586,0,bceca74cd6b2d481
18,6,4,0.744148,3.9926860496186833,0.9981715124046708,0,f0b1df86262afd8a
18,7,4,0.799397,3.984800338825702,0.9962000847064255,1,103fecccf50f605c
18,7,4,0.799397,3.9896290942320136,0.9974072735580034,1,6bb1d84d6d822b1f
18,7,4,0.799397,3.9896290942320136,0.9974072735580034,1,c8141195695a43c5
18,7,4,0.799397,3.9867602899606203,0.9966900724901551,1,f856cd55cb058447
18,4,5,0.801497,4.990876156406145,0.998175231281229,0,9428e009e24721b2
18,4,5,0.801497,4.9915169348510045,0.9983033869702009,0,f9e02e7a06632b49
18,2,6,0.961797,5.990016638935107,0.9983361064891846,1,3a0761da4a159d55
