n,trials,best_c_log,best_alpha,best_d_max,best_m,mean_c_log,median_c_log,std_c_log,min_d_max,max_d_max,median_d_max,mean_alpha,mean_m,E_local_hc_best,hc_tightness_lb_best,elapsed_s
64,30,1.4159609119985619,12,24,696,1.5660340304826967,1.5360286949327882,0.1013746677192167,24,29,26.0,12.366666666666667,715.2333333333333,1.231116314480013,0.10259302620666776,17.879645824432373
65,30,1.3143623615684097,11,25,727,1.5363240961856446,1.5318460280910555,0.10183892071089712,25,28,26.0,12.366666666666667,734.2666666666667,1.2182876209775484,0.11075342008886803,19.693758964538574
66,30,1.412124851271845,12,25,744,1.5183435753625816,1.4894823708439158,0.08678721791928835,25,28,26.5,12.366666666666667,751.5333333333333,1.224370080755035,0.10203084006291958,24.558675289154053
67,30,1.4292751499433145,12,26,767,1.56427231901302,1.5895222315722384,0.09941095051659804,26,29,27.0,12.766666666666667,772.5,1.2233652983012995,0.10194710819177495,25.326887369155884
68,30,1.4456740658190947,12,27,797,1.5525479193910876,1.5661469046373526,0.08842321173674993,26,29,27.0,12.766666666666667,789.8,1.2107612220824446,0.10089676850687039,29.33981990814209
69,30,1.3878468847275662,12,26,800,1.5478006792470216,1.5434491234107244,0.08998105145687094,26,29,27.0,12.933333333333334,810.1333333333333,1.2404093977199455,0.10336744980999546,29.567412614822388
70,30,1.3680205006600297,12,26,817,1.5343988867494427,1.5409641592106453,0.07066350221944886,26,30,27.0,12.9,829.6333333333333,1.2516085623510511,0.10430071352925425,28.899555444717407
71,30,1.3845892461365976,12,27,851,1.5516934429240208,1.5385491940021179,0.07747038869768819,27,30,28.0,13.066666666666666,850.7,1.2358731444596103,0.10298942870496752,36.23819851875305
72,30,1.4004742663352612,12,28,863,1.5559708340742018,1.554989931232785,0.08160124459100285,27,30,28.0,13.2,869.1666666666666,1.2498871712409574,0.10415726427007978,40.21365404129028
73,30,1.4588765687032874,13,27,882,1.54869680710361,1.5336886992980894,0.0592266522549501,27,30,28.0,13.333333333333334,886.5333333333333,1.2594676128738032,0.09688212406721562,39.50857853889465
74,30,1.4391620204775672,13,27,897,1.5971528201605671,1.6095362523496635,0.09248974797551217,27,31,29.0,13.7,909.4333333333333,1.2714512125003783,0.09780393942310603,43.50289249420166
75,30,1.3444552956818507,12,28,929,1.5391544964656005,1.5108318368592726,0.09284041831962711,28,30,29.0,13.433333333333334,926.8666666666667,1.2614053083284333,0.10511710902736944,54.152732133865356
76,30,1.3598292516043788,12,29,954,1.5690705889863523,1.5864674602051085,0.09454284218058177,28,31,29.0,13.733333333333333,948.8666666666667,1.2625481423123792,0.10521234519269827,54.11612582206726
77,30,1.4186622438201346,13,28,957,1.5624394830932917,1.5658639866959512,0.08545026127149309,28,33,29.5,13.733333333333333,971.9666666666667,1.2861044053420785,0.09893110810323681,56.69223976135254
78,30,1.4004742663352612,13,28,983,1.578394039883709,1.583152866589571,0.07686118876866523,28,33,30.0,14.033333333333333,993.9333333333333,1.2845778687612615,0.09881368221240473,53.77209973335266
79,30,1.4172060132754496,13,29,1007,1.5485130320998666,1.5631129568859055,0.0741688269987493,29,32,30.0,13.933333333333334,1013.0,1.281978524098395,0.09861373262295346,61.835609912872314
80,30,1.3994909381095066,13,29,1013,1.54254253521065,1.5435740449248316,0.06540565685622231,29,32,30.0,14.0,1032.5333333333333,1.3100928360637838,0.10077637200490644,54.08662962913513
81,30,1.4156234627176587,13,30,1064,1.5632646505427308,1.5602925614748606,0.06755315742819722,29,32,31.0,14.133333333333333,1060.4,1.280109105352902,0.09846993118099245,72.00476694107056
82,30,1.3653570127897623,13,29,1070,1.5433771871038087,1.541264603408094,0.08401456591129622,29,33,30.0,14.266666666666667,1073.2,1.3045745466717744,0.10035188820552111,69.0508189201355
83,30,1.4877822119757413,14,30,1099,1.5625744691571137,1.5226951503549846,0.06052242943411849,30,33,31.0,14.4,1100.6333333333334,1.300262298880864,0.09287587849149029,80.33966827392578
84,30,1.4353753211379554,14,29,1121,1.5692971652525392,1.5569751331636539,0.08509680738585304,29,33,31.0,14.6,1121.9,1.303232966981344,0.09308806907009601,80.19943451881409
